ts,open,high,low,close,volume,EMA50,EMA200,RSI,ATR,EMA50_slope,Signal,Score,Position,Returns,Equity
2025-08-29 14:45:00+00:00,108564.0,108720.66,108103.0,108198.67,416.67056,110316.29074252238,111620.52844625441,23.58190656763655,532.4978571428593,-86.43349969478732,HOLD,-0.2,0.0,-0.0,100.03397807955835
2025-08-29 15:00:00+00:00,108198.66,108471.43,108188.39,108241.06,236.04459,110234.90914477641,111586.90189455039,25.582113792433944,536.7971428571442,-81.38159774597443,HOLD,-0.2,0.0,0.0,100.03397807955835
2025-08-29 15:15:00+00:00,108241.07,108727.38,108241.06,108357.99,854.7863199999999,110161.30447243224,111554.7734179877,23.76576326766832,557.3971428571438,-73.60467234416865,HOLD,-0.2,0.0,0.0,100.03397807955835
2025-08-29 15:30:00+00:00,108358.0,108600.0,108210.76,108472.22,355.02889,110095.0658656702,111524.1012446744,22.40700178541853,570.8842857142871,-66.23860676203913,HOLD,-0.2,0.0,0.0,100.03397807955835
2025-08-29 15:45:00+00:00,108472.23,108582.0,108278.36,108386.23,320.89143,110028.05269446745,111492.8786452249,20.17556175488508,578.5728571428584,-67.01317120275053,HOLD,-0.2,0.0,-0.0,100.03397807955835
2025-08-29 16:00:00+00:00,108386.23,108690.49,108140.0,108632.0,282.54834,109973.30552997853,111464.41219104356,21.050280139103677,533.8542857142872,-54.74716448891559,HOLD,-0.2,0.0,0.0,100.03397807955835
2025-08-29 16:15:00+00:00,108632.0,108769.23,108486.47,108503.35,297.16998,109915.66021507741,111434.94888566005,15.914000900931441,532.5985714285728,-57.64531490112131,HOLD,-0.2,0.0,-0.0,100.03397807955835
2025-08-29 16:30:00+00:00,108503.34,108832.0,108500.02,108752.4,221.91915,109870.04216742732,111408.25685694702,22.194396302715063,536.2707142857149,-45.618047650088556,HOLD,-0.2,0.0,0.0,100.03397807955835
2025-08-29 16:45:00+00:00,108752.39,108827.63,108562.0,108705.67,159.35514,109824.38051380272,111381.3654454351,23.043518682353422,534.9592857142862,-45.66165362460015,HOLD,-0.2,0.0,-0.0,100.03397807955835
2025-08-29 17:00:00+00:00,108705.68,108725.5,108218.0,108227.99,164.28841,109761.77696424184,111349.98857533128,25.397974429151205,499.98785714285725,-62.60354956088122,HOLD,-0.2,0.0,-0.0,100.03397807955835
2025-08-29 17:15:00+00:00,108228.0,108545.46,108155.73,108398.21,193.6762,109708.30374995785,111320.61764423347,36.307545907137474,468.7950000000014,-53.473214283993,SELL,-0.6000000000000001,0.0,0.0,100.03397807955835
2025-08-29 17:30:00+00:00,108398.21,108612.83,108332.0,108443.99,96.41704,109658.72281858696,111291.99448359433,43.09454910012647,413.13000000000153,-49.58093137088872,SELL,-0.6000000000000001,-1.0,-0.0004223316971747604,100.03355574786119
2025-08-29 17:45:00+00:00,108444.0,108586.65,108426.62,108466.01,74.94248,109611.94976687767,111263.87523500135,45.88076535566589,377.4178571428586,-46.77305170928594,SELL,-0.6000000000000001,-1.0,-0.00020305412960164304,100.03335269373159
